((57.0, 26.0),25.48748141520843)
((46.0, 18.0),102.40797560879469)
((37.0, 14.0),131.32118377454373)
((32.0, 29.0),277.27677773028506)
((15.0, 43.0),98.26160409380734)
((16.0, 51.0),42.53041445957084)
((49.0, 19.0),81.93052152455493)
((23.0, 41.0),164.3304292429587)
((7.0, 19.0),50.67971348978286)
((11.0, 24.0),105.46333626816588)
((36.0, 56.0),25.026932215812998)
((58.0, 21.0),5.662832078606286)
((39.0, 26.0),201.93385360066455)
((43.0, 32.0),164.516147157045)
((52.0, 15.0),35.82013404463943)
((11.0, 44.0),61.36962817045756)
((1.0, 24.0),7.9003494101397465)
((53.0, 45.0),18.942810841456712)
((52.0, 35.0),70.01969127817645)
((47.0, 42.0),85.2565068332787)
((26.0, 27.0),256.4917691552159)
((38.0, 43.0),139.37718716337173)
((14.0, 43.0),90.84419774559368)
((47.0, 41.0),91.05079369314171)
((53.0, 21.0),53.27502236419274)
((22.0, 53.0),49.97206924538169)
((21.0, 46.0),110.8525545954711)
((19.0, 21.0),164.73223391609827)
((26.0, 35.0),231.20361578774492)
((56.0, 16.0),5.967822029884573)
((10.0, 28.0),102.23177470960638)
((54.0, 24.0),51.82579409002237)
((11.0, 37.0),97.12201925480393)
((56.0, 17.0),10.327911729436252)
((30.0, 5.0),57.73577583603387)
((47.0, 40.0),96.51836993210819)
((17.0, 20.0),142.71710211243357)
((24.0, 26.0),234.17061767094788)
((49.0, 50.0),16.699442783601768)
((51.0, 42.0),51.96030373764085)
((24.0, 8.0),80.12830824185019)
((19.0, 19.0),151.71859705623953)
((23.0, 4.0),38.90357737848493)
((20.0, 22.0),178.7374899293758)
((13.0, 15.0),80.33206493087185)
((37.0, 34.0),213.09497214306734)
((25.0, 17.0),168.88644245034342)
((35.0, 26.0),238.29063276018627)
((35.0, 30.0),246.82073552730543)
((32.0, 32.0),264.2042467063784)
((42.0, 51.0),50.10284635981666)
((39.0, 8.0),68.42490995708928)
((28.0, 28.0),278.7297220361011)
((34.0, 58.0),9.112185616572184)
((50.0, 35.0),89.31900686690693)
((39.0, 18.0),154.4768309162465)
((45.0, 21.0),126.63515794592553)
((57.0, 29.0),27.37917544086166)
((12.0, 20.0),100.05811810100035)
((33.0, 24.0),238.40787070948068)
((28.0, 35.0),239.68910535467853)
((23.0, 55.0),33.58642863788841)
((49.0, 14.0),54.481543999938076)
((13.0, 44.0),76.73129217970438)
((34.0, 48.0),107.47532588010685)
((17.0, 23.0),158.2153002208997)
((19.0, 24.0),180.5748784180309)
((27.0, 37.0),217.56719506677612)
((28.0, 43.0),161.1569939019028)
((18.0, 22.0),162.15902344952218)
